Name,Instance,Type,Hypervisor,Virtualization Type,Architecture,EBS Optimized,CPUUtilization (Percent),DiskReadOps (Count),DiskWriteOps (Count),DiskReadBytes (Bytes),DiskWriteBytes (Bytes),NetworkIn (Bytes),NetworkOut (Bytes),NetworkPacketsIn (Count),NetworkPacketsOut (Count)
tst-com-db-w01,i-0345c8eca877e9370,t3.xlarge,xen,hvm,x86_64,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tst-com-esm-l01,i-07b132c53db618ff4,t2.micro,xen,hvm,x86_64,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tst-nhi-mdm-w01,i-0fc16fc3d877a95d6,t2.medium,xen,hvm,x86_64,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tst-test-w01,i-07d2640ccf7e83c1a,t2.medium,xen,hvm,x86_64,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tst-test-l01,i-09dc3991e17b176e0,t3a.large,xen,hvm,x86_64,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tst-nhi-mdm-wX4-from-ami-tst,i-0c037a617596d41ba,t3.medium,xen,hvm,x86_64,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tst-hpi-mdm-w01,i-0b193c8c3daef32c2,t3.large,xen,hvm,x86_64,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hip-elastic-master-a,i-0dec80e514535559e,t3.medium,xen,hvm,x86_64,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tst-com-db-w04,i-0780fd9ba946d8a42,t3.xlarge,xen,hvm,x86_64,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tst-com-bat,i-0c2a6b4463afd4d80,t3a.small,xen,hvm,x86_64,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tst-hpi-mdm-WA1,i-0ed1e3faec56d30a1,t3.large,xen,hvm,x86_64,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tst-nhi-mdm-WA1,i-0b3d2dcef95c6959e,t3.large,xen,hvm,x86_64,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tst-com-mgt,i-03acf3b9f072cba63,t3.small,xen,hvm,x86_64,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tst-com-hap,i-0ba9d25034dc57cf9,t3a.small,xen,hvm,x86_64,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tst-com-authproxy,i-0ca065858cebbf688,t3a.small,xen,hvm,x86_64,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tst-com-Bam,i-0eab134e496a029bb,t3a.medium,xen,hvm,x86_64,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
